id;start;jhi_end;place
1;2021-09-11T07:24:22;2021-09-11T09:24:59;BABY_CONFORT
2;2021-09-11T06:04:59;2021-09-10T23:29:47;BABY_CRIB
3;2021-09-11T17:38:06;2021-09-11T10:58:08;BABY_CRIB
4;2021-09-11T18:47:53;2021-09-11T12:29:48;BABY_CONFORT
5;2021-09-10T21:47:55;2021-09-11T17:38:52;CART
6;2021-09-10T20:33:55;2021-09-10T23:39:49;CART
7;2021-09-11T03:43:41;2021-09-11T04:09:21;BABY_CRIB
8;2021-09-11T16:08:05;2021-09-11T00:22:41;CART
9;2021-09-11T01:36:40;2021-09-11T00:26:06;CART
10;2021-09-10T23:53:18;2021-09-11T15:19:09;BABY_CRIB
